F1,F2,F3
1.6582,0.13037,0.35045
3.6579,0.5425,-3.9632
5.0689,1.4356,-4.9316
2.6554,0.083425,-2.0471
3.3911,0.49256,-3.1648
3.177,0.26427,-3.0287
3.871,0.48924,-3.4845
3.1102,0.23044,-2.5722
3.8522,0.55936,-3.9108
3.9109,0.62293,-4.2829
3.9414,0.60902,-3.7016
2.9125,0.27951,-2.3438
2.1752,0.22705,-1.1103
3.5646,0.58801,-3.8555
3.1332,0.31934,-2.7511
5.3414,1.3638,-5.6826
1.5867,0.071883,-0.024832
1.3381,-0.086428,-0.35406
4.0765,0.82275,-4.0317
4.6737,1.0526,-4.6291
1.9848,0.0039588,-0.67749
3.8219,0.64261,-3.4794
4.0068,0.57811,-3.615
2.6874,0.28351,-2.0674
2.9591,0.36922,-2.2516
1.8622,0.11901,-0.94509
3.3827,0.31796,-3.2473
3.7611,0.50688,-4.0753
2.8308,0.18892,-2.963
3.684,0.30241,-3.9892
1.9938,0.024473,-0.50475
0.95258,0.2159,0.73024
3.131,0.055573,-2.6575
3.1503,0.22381,-3.2154
3.2481,0.42408,-2.9593
2.1683,0.050577,-1.2325
1.9547,0.11509,-0.58432
4.0112,0.64632,-4.152
2.0639,-0.053018,-1.0787
2.0165,0.16079,-1.1973
2.0125,0.0093569,-1.5049
5.5067,1.766,-6.5974
2.5228,0.10813,-2.1216
2.8786,0.12084,-2.4902
2.8629,0.32473,-1.791
3.0022,0.21752,-2.4778
3.8389,0.38508,-3.7389
4.0474,0.54607,-3.8913
5.172,1.3789,-5.3601
2.7585,0.18462,-2.2722
1.4535,-0.04338,0.70336
2.6273,0.070992,-2.0076
3.0987,0.32825,-3.0375
2.0628,0.09172,-0.81037
2.8065,0.11669,-2.0231
3.5384,0.38937,-2.9995
1.874,0.037919,-0.80672
1.1973,0.055677,-0.26633
3.7738,0.643,-3.4418
3.5338,0.44308,-3.1103
2.308,0.021421,-1.4297
3.2353,0.59697,-2.9434
2.7244,0.14965,-2.1949
2.7401,0.18879,-1.8371
2.1877,0.06911,-1.1612
4.4827,0.94755,-4.681
4.0554,0.52665,-3.9087
2.9979,0.34387,-2.6681
2.2315,0.30612,-0.79436
3.4165,0.29063,-3.1427
2.9735,0.35084,-2.1919
3.9294,0.58127,-3.5267
2.9056,0.22994,-2.1863
4.4508,0.92263,-5.3377
3.2245,0.27367,-2.6068
1.9566,0.12723,-1.0461
3.0702,0.29292,-2.4083
2.9241,0.25158,-2.2828
3.0495,0.31745,-2.9615
3.1066,0.29264,-2.8355
2.0792,0.081433,-1.1289
3.9139,0.51858,-4.122
3.9261,0.47898,-4.1295
4.2301,0.69882,-4.5619
1.1377,-0.13747,0.38587
2.9028,0.17578,-1.7875
2.4021,-0.12571,-1.1413
4.2232,0.85346,-4.1114
4.5686,0.79291,-4.8443
1.7046,0.096131,-0.5899
1.9995,0.07951,-1.3472
3.0228,0.28851,-2.1303
2.8963,0.20219,-2.3909
2.7068,0.14623,-1.9466
3.5591,0.40089,-3.0421
3.1478,0.18664,-2.8885
2.8861,0.30703,-1.8703
1.207,-0.026198,-0.2234
0.38961,0.014533,1.678
1.7482,0.21838,-0.51087
3.3803,0.51222,-3.2698
3.2046,0.33618,-2.3284
3.1201,0.29648,-2.2233
3.225,0.44912,-2.7266
2.5113,0.10069,-1.6806
2.8721,0.40588,-2.3495
5.9744,2.1019,-7.0681
4.2841,0.80523,-4.6655
3.2113,0.25205,-2.9756
2.2896,0.095233,-1.3713
2.8287,0.26893,-2.2527
4.4424,0.70033,-4.9547
2.3541,0.3189,-0.90025
3.526,0.51026,-2.8034
2.1917,0.29218,-1.6979
3.4707,0.29123,-3.5798
2.8314,0.10957,-1.5413
3.8051,0.56131,-3.3242
1.9221,0.18243,-0.61636
4.0012,0.67241,-3.5353
1.5355,0.1282,0.29044
4.6608,1.0947,-4.9091
2.0156,-0.033619,-1.1404
4.0703,0.74552,-4.3426
2.685,0.025458,-1.4188
4.8614,1.0731,-5.0328
3.7198,0.59027,-3.6822
3.6671,0.46696,-3.6783
2.439,0.19947,-1.6384
3.0329,0.52759,-2.5947
3.6044,0.5879,-3.5218
2.8099,0.24818,-2.0475
2.0077,-0.012965,-1.4524
0.20604,0.035399,2.0589
1.1614,-0.16481,0.45933
4.8918,1.1034,-5.5051
3.0456,0.35614,-2.5103
1.7073,0.18158,-0.64309
2.5463,0.2159,-2.0934
2.5045,0.16311,-1.2788
1.066,0.03088,-0.10772
1.9983,0.047802,-0.93545
3.139,0.32432,-2.5162
3.6132,0.52203,-3.5127
2.8547,0.11405,-2.6389
3.1682,0.32421,-2.4634
2.6461,0.29418,-1.915
1.9516,0.12216,-0.58711
2.3322,0.15577,-1.1012
3.1667,0.28521,-2.2804
3.9275,0.50675,-3.6257
2.3756,0.19742,-2.0031
4.8958,1.2099,-5.4663
0.97109,0.029911,0.92827
1.6764,0.0078378,-0.55728
1.8861,0.11425,-0.43224
4.3256,0.93923,-4.5175
2.8956,0.1318,-2.1807
3.2948,0.32873,-2.9329
4.4182,0.86661,-4.3724
3.5102,0.44178,-3.2824
2.9412,0.16419,-2.4733
4.5099,0.98273,-4.4914
2.7545,0.3264,-2.284
3.6917,0.58047,-3.8097
3.0036,0.30313,-2.1443
2.9855,0.28104,-2.4835
3.1701,0.24461,-3.5659
2.0044,0.14305,-1.2745
3.8065,0.70148,-3.6938
2.5009,0.17285,-1.8835
2.884,0.30407,-2.8785
4.9658,1.219,-5.0285
3.7201,0.45831,-3.6172
4.5062,1.0119,-4.9616
3.5021,0.4875,-3.1416
3.7299,0.56805,-3.4668
3.6296,0.46782,-3.6885
3.6603,0.56419,-3.7957
3.5752,0.49691,-3.5289
3.0963,0.2876,-2.5418
3.7871,0.4819,-3.8692
1.8092,0.083451,-0.62254
2.9243,0.15597,-2.6883
1.9125,0.10286,-0.90143
2.2178,0.10612,-1.3368
3.4259,0.32086,-3.0294
2.4322,0.11738,-1.6124
2.2009,0.0024585,-1.1057
1.03,-0.059148,0.34268
3.2488,0.34101,-2.661
3.7224,0.49415,-3.5617
4.0288,0.59198,-3.8147
1.8609,0.096662,-1.0808
1.4191,0.010849,0.045522
2.6706,0.14769,-2.1137
4.6057,1.0205,-5.2581
1.885,0.20619,-0.64011
2.6676,0.23936,-2.3412
2.3485,0.23775,-1.607
2.7094,0.2565,-2.0156
4.9341,1.2105,-5.5842
2.4076,-0.03894,-1.4748
3.0928,0.49787,-2.6209
2.4517,0.21032,-1.4893
1.8973,0.02573,-1.5183
2.0467,0.068758,-0.85539
2.7759,0.15469,-2.2211
3.561,0.52577,-3.0252
4.5037,0.8724,-4.786
1.7882,0.070802,-0.96541
3.8466,0.69378,-3.4584
3.1094,0.32976,-2.9778
1.2483,0.11254,0.13999
3.7511,0.59696,-3.7533
3.4072,0.40699,-2.6997
2.5568,0.13362,-1.9632
1.9211,0.077874,-0.66661
1.7622,-0.059203,-0.53555
4.2131,0.61309,-3.7774
2.6976,0.26949,-1.8439
2.6476,0.17218,-2.0071
1.9494,-0.047983,-1.6245
2.7303,0.17696,-1.8918
2.2129,0.027778,-1.8465
4.0851,0.85107,-4.0968
2.683,0.17115,-1.8766
2.6481,0.13742,-2.0173
3.8169,0.63963,-3.6501
3.6973,0.62745,-3.5013
2.601,0.2075,-2.0379
2.0229,0.20232,-1.155
2.1662,0.11053,-1.0221
3.7062,0.59715,-3.5513
3.9063,0.4799,-4.0678
1.9881,0.07502,-0.60118
2.8128,0.17904,-2.6253
2.2534,-0.02756,-1.5258
2.5603,0.11599,-1.7688
2.2564,0.13495,-1.3119
1.5093,0.19314,-0.57637
3.4392,0.57618,-2.5842
4.8345,1.1305,-4.9674
3.3567,0.32841,-2.4008
3.4742,0.4895,-3.2509
4.5031,0.8808,-4.9265
2.3214,0.12142,-1.3209
2.0418,0.055517,-1.2793
2.9425,0.17945,-2.2301
2.2806,-0.029564,-1.944
3.3098,0.41736,-3.8424
2.1413,0.1264,-1.2743
2.8417,0.11586,-2.2113
3.635,0.3491,-3.3957
2.9815,0.20395,-3.1937
2.018,-0.025752,-0.17435
1.9922,0.11896,-1.0613
2.9858,0.46734,-2.4731
2.8163,0.18932,-1.902
5.1575,1.4443,-5.3857
3.7731,0.42466,-3.607
3.4419,0.26857,-2.8245
3.6476,0.46409,-3.3576
1.0862,0.1595,0.55157
1.4217,0.2284,0.011295
1.3719,0.21507,-0.41155
4.2023,0.81707,-3.9921
2.5388,0.16745,-2.0857
3.3613,0.3365,-3.0995
3.7073,0.63779,-4.1083
3.1041,0.22861,-3.1178
1.532,-0.15339,-0.19394
2.7399,0.069554,-2.3684
4.1581,0.78371,-4.974
4.9369,1.0906,-5.9907
1.6277,0.13426,-0.062681
2.1466,0.091105,-1.12
2.5876,0.067495,-2.2324
3.234,0.513,-3.2645
1.9868,0.095513,-0.93392
1.5035,0.13352,0.047397
2.4351,0.25956,-1.2662
2.5424,0.12021,-1.905
3.3754,0.50278,-3.528
3.4343,0.23612,-3.3115
3.7768,0.46317,-3.8246
3.808,0.62651,-3.5187
4.477,1.0087,-4.4579
3.5228,0.28235,-2.7451
4.6328,1.0218,-5.5314
1.7199,0.026977,-0.80261
3.7166,0.3959,-3.2034
3.3435,0.57392,-2.9845
2.9998,0.22279,-2.8664
2.9518,0.27367,-2.5045
1.489,0.034833,-0.79291
3.2293,0.32703,-2.5573
2.6161,0.2256,-1.853
3.4649,0.35772,-3.1437
2.42,0.12531,-1.4339
2.0543,0.098924,-0.88646
4.1486,0.66087,-4.2989
2.2624,0.11081,-1.2899
3.0934,0.29593,-3.0503
1.3146,0.20226,0.28751
2.0577,0.23554,-1.1672
3.9402,0.597,-4.0867
2.2473,0.089032,-1.3289
3.1528,0.27092,-2.4249
3.6452,0.42121,-3.3243
2.5789,0.27294,-1.5593
3.7511,0.62464,-3.2833
2.2281,0.19689,-0.98582
1.1705,0.12913,0.33494
3.1016,0.34869,-2.6296
4.3899,0.86072,-4.3488
2.3995,0.11393,-1.565
5.0706,1.4733,-5.221
3.9474,0.4917,-3.8961
3.0721,0.37459,-2.5673
5.4668,1.5472,-6.0809
3.8502,0.65719,-4.2156
1.4048,-0.12632,-0.21903
2.6127,0.22914,-2.2732
2.5964,0.032358,-1.6472
4.4211,0.75385,-4.8964
2.053,-0.1114,-1.3228
3.4513,0.38542,-2.7613
3.3152,0.46772,-3.5801
4.7999,1.1378,-4.8334
4.2914,0.74322,-4.546
3.6697,0.45152,-3.5811
2.6383,0.21582,-1.6464
3.201,0.28267,-2.4062
2.8823,0.29217,-2.0214
4.1944,0.78042,-4.4311
3.4056,0.5799,-2.9231
4.1279,0.69634,-4.2805
2.2691,0.10456,-1.4712
2.4698,0.25987,-1.4909
3.4534,0.47951,-2.979
4.4278,0.71551,-5.1132
1.8667,-0.041239,-1.0213
2.9714,0.46972,-2.7833
2.7399,0.38593,-1.7921
4.5653,0.87879,-4.9313
2.3073,0.051,-1.5327
2.3493,-0.07196,-1.7575
3.4077,0.32415,-3.0524
1.6719,0.052027,-0.063281
3.9136,0.78927,-3.8228
0.9524,0.14094,0.56627
3.1004,0.21253,-2.7691
1.6624,0.030749,-0.01582
3.6265,0.55575,-3.3722
1.3886,-0.0073409,-1.001
1.8899,0.15001,-0.42415
1.6752,-0.015695,-0.56706
2.6181,0.21692,-1.9135
3.5535,0.29151,-3.9101
3.2522,0.45453,-2.4831
2.7385,0.16021,-1.891
2.7875,0.27852,-1.8912
3.4179,0.27258,-2.6096
3.2879,0.33037,-3.3641
3.444,0.21737,-3.0594
0.75088,0.062135,0.90488
2.7574,0.22027,-2.0781
3.5787,0.44389,-2.952
1.5692,-0.032919,-0.3435
3.3725,0.23854,-3.5993
3.2811,0.502,-2.453
2.4195,0.14032,-1.6105
1.3852,0.054874,-0.29963
2.6378,0.051425,-1.9281
3.23,0.40634,-2.768
2.2917,0.20213,-1.1236
1.8503,-0.03617,-1.1885
3.872,0.67507,-3.4686
3.3821,0.48973,-2.7504
1.2621,-0.082272,0.15426
1.4307,0.052715,-0.45886
2.0129,0.18136,-1.2467
5.1459,1.3498,-5.5507
5.0308,1.2443,-5.6343
3.9081,0.67331,-3.7004
2.4678,-0.04548,-2.1581
4.7816,1.2002,-4.8063
3.4951,0.37829,-3.5421
3.3261,0.42952,-2.4934
1.1532,0.19197,-0.29725
2.2945,-0.0011329,-1.0872
1.1594,0.031245,0.36033
2.5965,0.1172,-2.3124
3.4493,0.47716,-2.5885
2.4456,0.086017,-1.7841
3.5136,0.52655,-3.2646
3.7257,0.43519,-3.5933
3.9374,0.54032,-3.6476
4.6365,0.87563,-5.0064
2.4673,0.082394,-1.6197
3.4386,0.28846,-2.9503
2.9162,0.22659,-2.1168
2.7549,0.28659,-2.989
4.5876,0.9747,-5.1414
4.3668,0.78166,-4.0338
4.5236,0.76478,-4.7325
3.6983,0.76518,-3.733
3.1356,0.37574,-2.5269
3.5537,0.52466,-3.7449
2.3432,0.11417,-1.3817
3.1436,0.42279,-2.4915
4.6567,0.99531,-4.4792
4.0634,0.6165,-3.8829
2.8333,0.28711,-1.911
4.3092,0.80775,-4.4002
3.2255,0.3459,-3.4719
3.1277,0.30263,-3.0866
3.1929,0.14593,-3.1796
2.8054,0.28113,-2.35
1.3649,-0.04257,0.15886
2.2702,0.10495,-1.2687
4.0423,0.67133,-3.6893
2.6949,0.090401,-2.2371
2.3741,0.14395,-1.2403
1.7334,0.0080085,-0.47789
2.9061,0.17282,-1.6619
2.6639,0.064265,-2.0486
1.6956,0.085788,-0.39334
3.6652,0.543,-3.673
1.6714,-0.027739,0.23911
3.3225,0.34637,-2.9384
3.5157,0.36569,-3.221
2.6686,0.18168,-1.8018
3.0516,0.11721,-2.825
3.3989,0.38246,-2.9087
3.5783,0.36216,-2.6093
1.6004,0.14093,-0.74692
3.2137,0.37746,-2.7205
4.1664,0.76217,-4.1428
3.3085,0.20524,-2.3802
4.6414,0.95865,-5.4726
1.9883,0.19661,-0.60846
5.6441,1.7524,-6.5332
4.293,0.7598,-4.4322
3.8638,0.50809,-4.0196
3.1966,0.31153,-2.7847
1.8037,0.075395,-0.68083
3.4998,0.419,-3.2893
2.6717,0.070512,-2.6947
4.0668,0.50964,-4.3422
2.2545,0.28226,-1.5689
4.861,1.2343,-5.6179
3.3779,0.13384,-3.4518
2.1654,0.12102,-1.2829
3.3671,0.44269,-2.5658
3.162,0.2519,-3.2903
2.9513,0.24395,-2.755
1.5102,0.072473,-0.98266
2.7509,0.1957,-1.7261
3.3844,0.37546,-3.0917
3.732,0.65721,-3.6266
1.9122,-0.070742,-0.4861
3.3374,0.47857,-3.0468
2.3927,0.0041596,-1.7673
2.4761,0.17221,-1.7423
2.9255,0.26782,-1.88
3.0335,0.4028,-2.7106
1.2306,-0.028064,-0.13459
1.4133,-0.035386,0.36089
4.0431,0.56449,-4.0312
3.1532,0.31742,-2.5562
2.381,0.13227,-1.5965
2.5237,0.33363,-1.8117
1.7557,0.20102,-0.5646
3.4145,0.47503,-3.377
2.6392,0.030513,-1.7664
3.1825,0.22425,-2.132
4.4316,0.78341,-5.0744
3.2524,0.32802,-2.8081
2.6225,0.25996,-1.7175
4.1365,0.651,-4.3563
3.0407,0.1789,-2.5711
0.84185,-0.20861,1.0649
2.2167,0.015391,-1.1484
3.0743,0.17596,-2.885
2.7202,0.18153,-2.1553
1.6369,0.0060951,-0.46994
4.493,0.96704,-4.9445
3.2424,0.46532,-3.363
2.9152,0.16609,-2.3176
1.9408,0.14837,-0.72567
3.0218,0.29874,-2.1719
0.46575,-0.10853,1.8248
3.9383,0.57114,-3.5541
3.6621,0.52,-3.5583
2.4511,0.048425,-1.8292
1.8294,0.11358,-0.86009
2.1441,0.13788,-0.96919
3.7495,0.7062,-3.7126
2.6128,0.16065,-2.2606
3.1662,0.20217,-3.0635
3.9645,0.50197,-3.7902
3.2429,0.31929,-2.8158
3.0316,0.28638,-2.6908
3.5796,0.6228,-2.9876
3.3301,0.45007,-2.9838
1.8112,-0.068539,-0.38344
1.4956,-0.059743,0.098598
2.4363,0.027942,-1.6069
4.248,0.54594,-4.1323
2.5061,0.012642,-1.7518
2.5821,0.055598,-2.2156
3.2694,0.25631,-3.1928
2.516,0.15541,-1.5284
3.1063,0.31712,-2.811
3.683,0.38626,-3.4622
3.2774,0.47399,-3.0295
3.81,0.44273,-3.9631
3.9289,0.53778,-3.9435
2.8496,0.088623,-2.3696
3.6306,0.55652,-3.6031
2.8265,0.20802,-2.3949
0.93125,-0.066943,1.2156
1.0639,0.011939,0.16048
3.3957,0.43179,-2.9543
2.822,0.11274,-2.0984
1.9536,0.17478,-0.91999
3.1983,0.25698,-2.4868
4.8087,1.1331,-5.7143
1.9107,0.065247,-0.86492
4.0707,0.65531,-3.8995
2.667,0.20376,-1.3037
3.2275,0.24243,-2.9328
0.54932,0.10884,1.2796
2.1516,0.027061,-0.93759
2.2608,0.09076,-1.6332
3.7966,0.5914,-3.3866
2.313,0.051062,-1.6489
1.5488,-0.043653,-0.70148
2.6765,0.1981,-1.1687
2.294,0.28174,-1.1726
3.1536,0.2799,-2.9354
2.823,0.33841,-2.1176
2.3124,0.10104,-0.86001
2.0426,0.16931,-1.6288
3.1395,0.37231,-2.6831
2.7315,0.24177,-2.4558
3.5833,0.49746,-3.0851
2.3691,0.060871,-1.0491
4.7312,1.2343,-4.6419
3.283,0.38608,-2.7321
2.1664,0.139,-1.8071
1.4378,0.080244,-0.042858
3.1975,0.26108,-2.4585
2.2301,-0.091831,-1.9751
1.4132,-0.1186,-0.040476
5.1082,1.266,-5.6999
3.6194,0.31289,-3.3731
2.192,0.11368,-1.5896
4.6031,0.87393,-4.7949
4.3643,0.88656,-4.2697
3.0104,0.28401,-2.5932
4.4136,0.85967,-4.9126
1.9884,0.073191,-1.326
3.4603,0.40886,-3.0582
3.5733,0.43798,-3.4767
3.9656,0.84483,-3.8977
3.1571,0.35042,-3.7638
3.3299,0.48886,-2.8537
2.8043,0.13116,-2.4219
2.255,-0.032233,-1.2012
3.0618,0.42589,-2.5188
1.9291,-0.10815,-0.83886
3.571,0.33725,-3.1586
0.96264,0.17558,0.76166
2.0558,0.1431,-1.23
2.8078,0.16592,-2.3279
4.2015,0.7025,-3.9561
